1600181663.300:10945328,1997:"/usr/bin/sudo",read,0xac131,"/etc/localtime"
1600181663.300:10945330,1997:"/usr/bin/sudo",open,0xd,"/dev/tty"
1600181663.300:10945334,1997:"/usr/bin/sudo",open,0xbf4c4,"/etc/nsswitch.conf"
1600181663.300:10945335,1997:"/usr/bin/sudo",read,0xbf4c4,"/etc/nsswitch.conf"
1600181663.300:10945336,1997:"/usr/bin/sudo",read,0xbf4c4,"/etc/nsswitch.conf"
1600181663.300:10945339,1997:"/usr/bin/sudo",open,0xc93bd,"/etc/ld.so.cache"
1600181663.300:10945341,1997:"/usr/bin/sudo",open,0xe0aa9,"/lib/x86_64-linux-gnu/libnss_compat.so.2"
1600181663.300:10945342,1997:"/usr/bin/sudo",read,0xe0aa9,"/lib/x86_64-linux-gnu/libnss_compat.so.2"
1600181663.300:10945345,1997:"/usr/bin/sudo",open,0xe09d3,"/lib/x86_64-linux-gnu/libnsl.so.1"
1600181663.300:10945346,1997:"/usr/bin/sudo",read,0xe09d3,"/lib/x86_64-linux-gnu/libnsl.so.1"
1600181663.300:10945349,1997:"/usr/bin/sudo",open,0xc93bd,"/etc/ld.so.cache"
1600181663.300:10945351,1997:"/usr/bin/sudo",open,0xe6617,"/lib/x86_64-linux-gnu/libnss_nis.so.2"
1600181663.300:10945352,1997:"/usr/bin/sudo",read,0xe6617,"/lib/x86_64-linux-gnu/libnss_nis.so.2"
1600181663.300:10945355,1997:"/usr/bin/sudo",open,0xe0a81,"/lib/x86_64-linux-gnu/libnss_files.so.2"
1600181663.300:10945356,1997:"/usr/bin/sudo",read,0xe0a81,"/lib/x86_64-linux-gnu/libnss_files.so.2"
1600181663.300:10945358,1997:"/usr/bin/sudo",open,0xc93cb,"/etc/passwd"
1600181663.300:10945360,1997:"/usr/bin/sudo",open,0x280a8f,"/proc/sys/kernel/ngroups_max"
1600181663.300:10945361,1997:"/usr/bin/sudo",read,0x280a8f,"/proc/sys/kernel/ngroups_max"
1600181663.300:10945363,1997:"/usr/bin/sudo",open,0x2c955d,"/proc/1997/stat"
1600181663.300:10945364,1997:"/usr/bin/sudo",read,0x2c955d,"/proc/1997/stat"
1600181663.300:10945365,1997:"/usr/bin/sudo",read,0x2c955d,"/proc/1997/stat"
1600181663.300:10945368,1997:"/usr/bin/sudo",open,0x1401,"/usr/lib/sudo/sudoers.so"
1600181663.300:10945369,1997:"/usr/bin/sudo",read,0x1401,"/usr/lib/sudo/sudoers.so"
1600181663.300:10945373,1997:"/usr/bin/sudo",open,0xc93bd,"/etc/ld.so.cache"
1600181663.300:10945375,1997:"/usr/bin/sudo",open,0xe0a37,"/lib/x86_64-linux-gnu/libpam.so.0"
1600181663.300:10945376,1997:"/usr/bin/sudo",read,0xe0a37,"/lib/x86_64-linux-gnu/libpam.so.0"
1600181663.300:10945378,1997:"/usr/bin/sudo",open,0xc93cb,"/etc/passwd"
1600181663.300:10945379,1997:"/usr/bin/sudo",open,0xbf91e,"/etc/default/nss"
1600181663.300:10945380,1997:"/usr/bin/sudo",read,0xbf91e,"/etc/default/nss"
1600181663.300:10945381,1997:"/usr/bin/sudo",read,0xbf91e,"/etc/default/nss"
1600181663.300:10945383,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945384,1997:"/usr/bin/sudo",open,0xbf4b0,"/usr/share/locale/locale.alias"
1600181663.300:10945385,1997:"/usr/bin/sudo",read,0xbf4b0,"/usr/share/locale/locale.alias"
1600181663.300:10945386,1997:"/usr/bin/sudo",read,0xbf4b0,"/usr/share/locale/locale.alias"
1600181663.300:10945392,1997:"/usr/bin/sudo",open,0xc93cb,"/etc/passwd"
1600181663.300:10945396,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945398,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945400,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945402,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945404,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945406,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945408,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945410,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.300:10945412,1997:"/usr/bin/sudo",open,0xbf4c4,"/etc/nsswitch.conf"
1600181663.300:10945413,1997:"/usr/bin/sudo",read,0xbf4c4,"/etc/nsswitch.conf"
1600181663.300:10945414,1997:"/usr/bin/sudo",read,0xbf4c4,"/etc/nsswitch.conf"
1600181663.300:10945416,1997:"/usr/bin/sudo",open,0xbf4dc,"/etc/sudoers"
1600181663.300:10945417,1997:"/usr/bin/sudo",read,0xbf4dc,"/etc/sudoers"
1600181663.300:10945418,1997:"/usr/bin/sudo",read,0xbf4dc,"/etc/sudoers"
1600181663.300:10945419,1997:"/usr/bin/sudo",read,0xbf4dc,"/etc/sudoers"
1600181663.300:10945420,1997:"/usr/bin/sudo",open,0xbf476,"/etc/sudoers.d"
1600181663.300:10945422,1997:"/usr/bin/sudo",open,0xbfea8,"/etc/sudoers.d/README"
1600181663.300:10945423,1997:"/usr/bin/sudo",read,0xbfea8,"/etc/sudoers.d/README"
1600181663.300:10945424,1997:"/usr/bin/sudo",read,0xbfea8,"/etc/sudoers.d/README"
1600181663.300:10945425,1997:"/usr/bin/sudo",read,0xbfea8,"/etc/sudoers.d/README"
1600181663.300:10945426,1997:"/usr/bin/sudo",read,0xbfea8,"/etc/sudoers.d/README"
1600181663.300:10945432,1997:"/usr/bin/sudo",read,0xbf4dc,"/etc/sudoers"
1600181663.432:10945433,1997:"/usr/bin/sudo",open,0xc93cb,"/etc/passwd"
1600181663.432:10945437,1997:"/usr/bin/sudo",open,0xbf49f,"/etc/host.conf"
1600181663.432:10945438,1997:"/usr/bin/sudo",read,0xbf49f,"/etc/host.conf"
1600181663.432:10945439,1997:"/usr/bin/sudo",read,0xbf49f,"/etc/host.conf"
1600181663.432:10945441,1997:"/usr/bin/sudo",open,0x303,"/etc/resolv.conf"
1600181663.432:10945442,1997:"/usr/bin/sudo",read,0x303,"/etc/resolv.conf"
1600181663.432:10945443,1997:"/usr/bin/sudo",read,0x303,"/etc/resolv.conf"
1600181663.432:10945445,1997:"/usr/bin/sudo",open,0xbf4a1,"/etc/hosts"
1600181663.432:10945446,1997:"/usr/bin/sudo",read,0xbf4a1,"/etc/hosts"
1600181663.432:10945447,1997:"/usr/bin/sudo",read,0xbf4a1,"/etc/hosts"
1600181663.432:10945449,1997:"/usr/bin/sudo",open,0x280a8f,"/proc/sys/kernel/ngroups_max"
1600181663.432:10945450,1997:"/usr/bin/sudo",read,0x280a8f,"/proc/sys/kernel/ngroups_max"
1600181663.432:10945452,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.432:10945454,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.432:10945456,1997:"/usr/bin/sudo",open,0xbfb45,"/etc/pam.d/sudo"
1600181663.432:10945457,1997:"/usr/bin/sudo",read,0xbfb45,"/etc/pam.d/sudo"
1600181663.432:10945458,1997:"/usr/bin/sudo",open,0xe0a8b,"/lib/x86_64-linux-gnu/security/pam_env.so"
1600181663.432:10945459,1997:"/usr/bin/sudo",read,0xe0a8b,"/lib/x86_64-linux-gnu/security/pam_env.so"
1600181663.432:10945461,1997:"/usr/bin/sudo",open,0xc0a10,"/etc/pam.d/common-auth"
1600181663.432:10945462,1997:"/usr/bin/sudo",read,0xc0a10,"/etc/pam.d/common-auth"
1600181663.432:10945463,1997:"/usr/bin/sudo",open,0xe0ab0,"/lib/x86_64-linux-gnu/security/pam_unix.so"
1600181663.432:10945467,1997:"/usr/bin/sudo",open,0xc93bd,"/etc/ld.so.cache"
1600181663.432:10945469,1997:"/usr/bin/sudo",open,0xe09eb,"/lib/x86_64-linux-gnu/libcrypt.so.1"
1600181663.436:10945472,1997:"/usr/bin/sudo",open,0xe0a89,"/lib/x86_64-linux-gnu/security/pam_deny.so"
1600181663.436:10945475,1997:"/usr/bin/sudo",open,0xe0a9f,"/lib/x86_64-linux-gnu/security/pam_permit.so"
1600181663.436:10945478,1997:"/usr/bin/sudo",read,0xc0a10,"/etc/pam.d/common-auth"
1600181663.436:10945480,1997:"/usr/bin/sudo",open,0xbf563,"/etc/pam.d/common-account"
1600181663.436:10945481,1997:"/usr/bin/sudo",read,0xbf563,"/etc/pam.d/common-account"
1600181663.436:10945482,1997:"/usr/bin/sudo",read,0xbf563,"/etc/pam.d/common-account"
1600181663.436:10945484,1997:"/usr/bin/sudo",open,0xbf612,"/etc/pam.d/common-session-noninteractive"
1600181663.436:10945485,1997:"/usr/bin/sudo",read,0xbf612,"/etc/pam.d/common-session-noninteractive"
1600181663.436:10945486,1997:"/usr/bin/sudo",open,0xe0aaf,"/lib/x86_64-linux-gnu/security/pam_umask.so"
1600181663.436:10945489,1997:"/usr/bin/sudo",read,0xbf612,"/etc/pam.d/common-session-noninteractive"
1600181663.436:10945491,1997:"/usr/bin/sudo",read,0xbfb45,"/etc/pam.d/sudo"
1600181663.436:10945493,1997:"/usr/bin/sudo",open,0xbfb3d,"/etc/pam.d/other"
1600181663.436:10945494,1997:"/usr/bin/sudo",read,0xbfb3d,"/etc/pam.d/other"
1600181663.436:10945495,1997:"/usr/bin/sudo",open,0xc0a10,"/etc/pam.d/common-auth"
1600181663.436:10945496,1997:"/usr/bin/sudo",read,0xc0a10,"/etc/pam.d/common-auth"
1600181663.436:10945497,1997:"/usr/bin/sudo",read,0xc0a10,"/etc/pam.d/common-auth"
1600181663.436:10945499,1997:"/usr/bin/sudo",open,0xbf563,"/etc/pam.d/common-account"
1600181663.436:10945500,1997:"/usr/bin/sudo",read,0xbf563,"/etc/pam.d/common-account"
1600181663.436:10945501,1997:"/usr/bin/sudo",read,0xbf563,"/etc/pam.d/common-account"
1600181663.436:10945503,1997:"/usr/bin/sudo",open,0xbf60d,"/etc/pam.d/common-password"
1600181663.436:10945504,1997:"/usr/bin/sudo",read,0xbf60d,"/etc/pam.d/common-password"
1600181663.436:10945505,1997:"/usr/bin/sudo",open,0xe0a91,"/lib/x86_64-linux-gnu/security/pam_gnome_keyring.so"
1600181663.436:10945508,1997:"/usr/bin/sudo",read,0xbf60d,"/etc/pam.d/common-password"
1600181663.436:10945510,1997:"/usr/bin/sudo",open,0xbf60e,"/etc/pam.d/common-session"
1600181663.436:10945511,1997:"/usr/bin/sudo",read,0xbf60e,"/etc/pam.d/common-session"
1600181663.436:10945512,1997:"/usr/bin/sudo",open,0xe09e1,"/lib/x86_64-linux-gnu/security/pam_systemd.so"
1600181663.436:10945516,1997:"/usr/bin/sudo",open,0xc93bd,"/etc/ld.so.cache"
1600181663.436:10945518,1997:"/usr/bin/sudo",open,0xe661a,"/lib/x86_64-linux-gnu/librt.so.1"
1600181663.436:10945522,1997:"/usr/bin/sudo",open,0xe0a39,"/lib/x86_64-linux-gnu/libpam_misc.so.0"
1600181663.560:10945525,1997:"/usr/bin/sudo",read,0xbf60e,"/etc/pam.d/common-session"
1600181663.560:10945527,1997:"/usr/bin/sudo",read,0xbfb3d,"/etc/pam.d/other"
1600181663.560:10945529,1997:"/usr/bin/sudo",open,0x12c,"/var/run/sudo/ts/"
1600181663.560:10945530,1997:"/usr/bin/sudo",open,0xf00000bb,"/proc/stat"
1600181663.560:10945531,1997:"/usr/bin/sudo",read,0xf00000bb,"/proc/stat"
1600181663.560:10945532,1997:"/usr/bin/sudo",read,0xf00000bb,"/proc/stat"
1600181663.560:10945533,1997:"/usr/bin/sudo",read,0xf00000bb,"/proc/stat"
1600181663.560:10945534,1997:"/usr/bin/sudo",read,0xf00000bb,"/proc/stat"
1600181663.560:10945536,1997:"/usr/bin/sudo",read,0x12c,"/var/run/sudo/ts/"
1600181663.560:10945537,1997:"/usr/bin/sudo",read,0x12c,"/var/run/sudo/ts/"
1600181663.560:10945538,1997:"/usr/bin/sudo",read,0x12c,"/var/run/sudo/ts/"
1600181663.560:10945539,1997:"/usr/bin/sudo",read,0x12c,"/var/run/sudo/ts/"
1600181663.560:10945546,1997:"/usr/bin/sudo",open,0xc93cb,"/etc/passwd"
1600181663.560:10945547,1997:"/usr/bin/sudo",open,0xbfe67,"/etc/group"
1600181663.560:10945548,1997:"/usr/bin/sudo",open,0xc93cb,"/etc/passwd"
